product_name,category,rating,review_text,true_sentiment,clean_review
Headphones,Beauty,3.0,Fair product for the price. Does what it says on the tin. Not what I expected though.,Neutral,fair product price say tin expected though
Jeans,Beauty,3.0,"Not great, not bad. Just an average product overall. The size was perfect.",Neutral,great bad average product overall size perfect
Shampoo,Books,3.0,Delivery was on time but product is just mediocre. Packaging was neat.,Neutral,delivery time product mediocre packaging neat
Shampoo,Beauty,3.0,Satisfactory purchase. Met basic expectations nothing more. Not what I expected though.,Neutral,satisfactory purchase met basic expectation nothing expected though
Face Cream,Books,3.0,Product is okay. Nothing special but does the job. Packaging was neat.,Neutral,product okay nothing special job packaging neat
T-Shirt,Clothing,3.0,Fair product for the price. Does what it says on the tin. The size was perfect.,Neutral,fair product price say tin size perfect
Laptop,Sports,3.0,Standard quality. Arrived as expected with basic packaging. Would buy again.,Neutral,standard quality arrived expected basic packaging would buy
Headphones,Books,3.0,Product is functional but the design could be improved. Very impressed overall.,Neutral,product functional design could improved impressed overall
T-Shirt,Sports,3.0,Satisfactory purchase. Met basic expectations nothing more. The size was perfect.,Neutral,satisfactory purchase met basic expectation nothing size perfect
Coffee Maker,Beauty,3.0,"Not great, not bad. Just an average product overall. Delivery was quick.",Neutral,great bad average product overall delivery quick
Headphones,Clothing,3.0,Fair product for the price. Does what it says on the tin. Very impressed overall.,Neutral,fair product price say tin impressed overall
Yoga Mat,Books,3.0,Decent product. Some minor issues but generally acceptable. Good build quality.,Neutral,decent product minor issue generally acceptable good build quality
Coffee Maker,Books,3.0,Satisfactory purchase. Met basic expectations nothing more. Would buy again.,Neutral,satisfactory purchase met basic expectation nothing would buy
Jeans,Books,3.0,Decent product. Some minor issues but generally acceptable. Not what I expected though.,Neutral,decent product minor issue generally acceptable expected though
Face Cream,Books,3.0,Delivery was on time but product is just mediocre. Very impressed overall.,Neutral,delivery time product mediocre impressed overall
Face Cream,Electronics,3.0,"Not great, not bad. Just an average product overall. Not what I expected though.",Neutral,great bad average product overall expected though
Novel,Beauty,3.0,Decent product. Some minor issues but generally acceptable. Packaging was neat.,Neutral,decent product minor issue generally acceptable packaging neat
